"Country","City","so2","humidity","temperature","wind_speed","POP","precipitation"
"AR","Buenos Aires",3.285849056603774,70.41028571428573,17.88914285714288,3.454666666666665,14967,38.079999999999984
"AU","Adelaide",0.7770833333333332,61.846531791907466,16.53092485549134,4.063513513513513,1320,47.51640625000004
"AU","Brisbane",1.117808219178082,67.90545977011487,20.825287356321837,1.986301369863014,2338,0.4066371681415929
"AU","Melbourne",0.7197740112994351,72.44885714285712,14.923714285714283,3.536,4771,47.95584415584417
"AU","Sydney",1.720630372492837,73.22097701149443,17.86724137931035,2.5999999999999988,4792,45.61140939597316
"AU","Wollongong",2.7522336769759446,72.45545977011487,16.963505747126465,4.072602739726023,301,22.674999999999983
"BA","Sarajevo",11.427906976744193,74.84044943820213,10.651966292134826,1.7135802469135801,343,40.7968
"CL","Santiago",7.324863387978136,58.90201149425285,15.019827586206883,3.3136986301369866,650,99
"CL","Santiago",7.324863387978136,58.90201149425285,15.019827586206883,3.3136986301369866,6680,99
"CN","Anyang",6.2609289617486334,62.81264367816098,15.158045977011488,2.256756756756756,1328,39.904301075268826
"CN","Anyang",6.2609289617486334,62.81264367816098,15.158045977011488,2.256756756756756,576,39.904301075268826
"CN","Beijing",1.9333333333333338,52.72507122507122,13.243589743589736,1.8447368421052626,19618,33.300000000000004
"CN","Changchun",4.500819672131142,60.578223495702005,7.165902578796562,2.6040540540540533,4241,43.80666666666667
"CN","Changsha",3.4390710382513654,81.72263610315183,18.886246418338107,2.38243243243243,4345,35.91275167785234
"CN","Chengdu",3.1163934426229516,72.94326647564472,18.518624641833828,1.2743243243243239,8813,84.29249999999995
"CN","Chongqing",3.822677595628418,76.94928366762177,18.67936962750717,2.095945945945945,14838,31.901538461538475
"CN","Hangzhou",3.056284153005465,74.14756446991413,18.740687679083084,2.2986486486486473,7236,74.35
"CN","Hegang",4.522677595628411,65.30830945558746,3.8957020057306586,2.3243243243243232,630,35.285000000000004
"CN","Jieyang",4.440710382513658,74.37977207977217,23.40370370370372,1.9947368421052625,1049,66.50555555555556
"CN","Lanzhou",6.605464480874315,53.21690544412615,7.645845272206299,1.7824324324324323,2936,39.458715596330286
"CN","Nanchang",3.99617486338798,74.80028818443806,19.043804034582127,1.6027397260273968,3373,30.445856353591164
"CN","Nanning",4.032240437158469,78.38746438746445,22.49287749287751,1.7631578947368427,3628,32.17142857142857
"CN","Qingdao",3.6099447513812195,67.46189111747853,14.026074498567327,2.862162162162161,5381,44.388888888888886
"CN","Qinhuangdao",6.499180327868851,43.23180515759312,12.242120343839552,1.772972972972973,1432,50.052727272727296
"CN","Shantou",4.173770491803282,74.46504297994272,23.42607449856732,1.9797297297297292,4174,66.50555555555556
"CN","Shijiazhuang",5.980874316939897,63.301432664756426,13.517765042979944,1.517567567567567,3950,63.372727272727275
"CN","Shiyan",2.930601092896177,33.27707736389685,21.266475644699145,2.052702702702703,1162,0.6666666666666666
"CN","Wuhan",3.7739726027397285,75.20716332378221,17.934097421203447,2.1310810810810805,8176,29.970000000000017
"CN","Xining",6.409016393442625,53.45014409221907,5.881556195965418,2.191780821917807,1452,43.56766917293233
"CN","Xinxiang",6.3281420765027345,64.24240687679085,16.081375358166195,2.1959459459459456,1044,37.59593495934963
"CN","Xuchang",4.969945355191254,65.26418338108878,16.142693409742147,2.2135135135135138,900,24.53055555555556
"CN","Yinchuan",7.300273224043713,44.436416184971115,10.406069364161848,1.3333333333333326,1483,59.996153846153824
"CN","Yunfu",5.258469945355195,80.00173410404632,22.78670520231214,1.9166666666666663,346,40.61677018633541
"CN","Zhengzhou",4.331147540983605,62.20028653295129,16.46848137535817,2.2135135135135138,4940,38.44215686274513
"CZ","Brno",2.0691823899371085,73.65127388535036,11.711146496815296,3.3458333333333323,378,56.12706766917295
"EC","Quito",3.4101694915254255,71.35059171597635,14.013905325443796,1.1802816901408446,1822,0.5042857142857134
"EE","Tallinn",0.29371584699453535,77.21590909090908,7.538068181818179,6.032876712328766,437,23.559259259259253
"HU","Budapest",2.483060109289616,68.31628571428568,12.723142857142847,2.8053333333333335,1759,60.892361111111136
"IN","Chandigarh",4.503278688524589,73.4765042979942,22.048710601719186,1.6229729729729727,1110,99.8
"IN","Delhi",5.552185792349732,61.79261363636361,25.94573863636362,1.284415584415584,28514,2.0183098591549293
"IN","Muzaffarnagar",6.597540983606561,59.993103448275825,29.724425287356368,0.6702702702702706,665,99
"IR","Khorramabad",20.874213836478035,33.986246418338084,22.001146131805164,2.7189189189189187,383,42.77142857142857
"IR","Sanandaj",16.01166180758019,41.5349710982659,15.561849710982656,2.9124999999999988,428,44.35555555555553
"IT","Brescia",2.508982035928144,66.93965517241385,14.760057471264371,2.7972602739726025,477,12.931249999999999
"JO","Irbid",4.003973509933779,53.21027190332333,19.580966767371617,3.032876712328767,550,25.096428571428564
"JP","Akita",1.5834437086092712,76.39825072886303,12.814868804664725,3.9121621621621605,312,50.39594095940962
"JP","Hiroshima",1.9364672364672357,58.024198250728915,17.158017492711366,2.4972972972972967,2095,57.7788888888889
"JP","Kagoshima",2.8025787965616056,73.44314868804658,19.087463556851322,3.182432432432431,597,51.87636363636364
"JP","Kanazawa",1.6036931818181814,73.64839650145781,15.719533527696784,3.3783783783783794,468,47.06617647058824
"JP","Kochi",1.6205223880597017,70.765889212828,17.855976676384863,1.8081081081081083,334,53.767403314917125
"JP","Kumamoto",2.321590909090909,71.98017492711374,16.514577259475235,2.08695652173913,744,61.64131736526951
"JP","Matsuyama",2.8061624649859924,66.74415204678364,17.379824561403513,2.4602739726027383,514,61.96928104575166
